artifact_id,relative_path,role,format,sha256,bytes,generated_by_rule,external_accession,license
ref_figure_1_png,reference/2026-07-09/figures/Figure_1.png,frozen_reference,png,6ea2f6ad85f1c0e70c351c5b7811716878c2efa9cb7bc13682b9f2f04c73d202,1708680,,,not_redistributed
ref_figure_1_svg,reference/2026-07-09/figures/Figure_1.svg,frozen_reference,svg,3f833d18f68df7458121f212cbbea4c25475f39e402cdfe516e123e3995c1f51,4519330,,,not_redistributed
ref_figure_2_png,reference/2026-07-09/figures/Figure_2.png,frozen_reference,png,62289a175f0d34dc5d2d0beccfa79900a2df87dd3665012f06b432d5a3cbddc0,1553902,,,not_redistributed
ref_figure_2_svg,reference/2026-07-09/figures/Figure_2.svg,frozen_reference,svg,5d0d4848c6f147f9cfd729c10c62b7c3e6f865edfaa687d29fe311fb03c14ea8,1551061,,,not_redistributed
ref_figure_3_png,reference/2026-07-09/figures/Figure_3.png,frozen_reference,png,ffbe9b307137ab22c3572da2a08c238b135caadfb78fb7faf9bd60b705801932,2221388,,,not_redistributed
ref_figure_3_svg,reference/2026-07-09/figures/Figure_3.svg,frozen_reference,svg,9de8fd7066d4b6faba3e483e41ea27a8544e15f7c12e949e66a38bfc559874ce,1506583,,,not_redistributed
ref_figure_4_png,reference/2026-07-09/figures/Figure_4.png,frozen_reference,png,af21c800dfeff57a62a89f06f962bc48a3ea8bb7dd4f74d13a1b5e16c3006ccd,1070960,,,not_redistributed
ref_figure_4_svg,reference/2026-07-09/figures/Figure_4.svg,frozen_reference,svg,ddf753ca274c1f7fe35174178a7cdb8f621b9e3c44f9da2f4454394add57f6e7,2756166,,,not_redistributed
ref_figure_5_png,reference/2026-07-09/figures/Figure_5.png,frozen_reference,png,3a0414dde2ba32d3f8f30194e9432753da9ed3e7176134de7670466b8c6974ba,981360,,,not_redistributed
ref_figure_5_svg,reference/2026-07-09/figures/Figure_5.svg,frozen_reference,svg,8f989c97ea71ed0105edd484680691b6dfed74ec64e3d7ba67c4226d21005246,14041244,,,not_redistributed
ref_manuscript_docx,reference/2026-07-09/manuscript/20260709_The cost-benefit trade-off_manuscript.docx,frozen_reference,docx,36fa65cf117269e98ca6061881ce3b3c7e24a30d56543926d078273e5bdd3d68,10493171,,,not_redistributed
ref_supplementary_figure_1_png,reference/2026-07-09/figures/Supplemental-figure_1.png,frozen_reference,png,4c331337feac57fca663992c337f92657fd84bf6693fa2c81fcd6546f59c62b8,465704,,,not_redistributed
ref_supplementary_figure_1_svg,reference/2026-07-09/figures/Supplemental-figure_1.svg,frozen_reference,svg,aa420940d3c838523cdf33439b8c9b7886108530127f7bc886baa6629c385a98,907814,,,not_redistributed
ref_supplementary_figure_2_png,reference/2026-07-09/figures/Supplemental-figure_2.png,frozen_reference,png,92505383bdf1d4be2aaf37f4de03e553745969d5762378a48ac71eac6a301fc6,557267,,,not_redistributed
ref_supplementary_figure_2_svg,reference/2026-07-09/figures/Supplemental-figure_2.svg,frozen_reference,svg,7c87795b04039fbec00e7d44b02036de5e4d9e7d32bd060827bca4f0d8b1fd77,1378000,,,not_redistributed
ref_supplementary_figure_3_png,reference/2026-07-09/figures/Supplemental-figure_3.png,frozen_reference,png,aa239d19b05c6b896edf0ae2c2918d980772eea3e76a910d421c2f372b051671,142681,,,not_redistributed
ref_supplementary_figure_3_svg,reference/2026-07-09/figures/Supplemental-figure_3.svg,frozen_reference,svg,047d3a7f996e455573f7a7335f92ea6ffa57daa1bab6a89c2fe905da6685fffb,534744,,,not_redistributed
