fetch_id,panel_ids,description,access_method,locator,version,sha256,bytes,status,license,notes
promoter_proteomics_raw,F3_A;F3_B;F3_D;S2_A,Final promoter-series raw mass-spectrometry data and Spectronaut project,repository_accession,,,,,pending_accession,pending,Deposit through PRIDE/ProteomeXchange or supply a checksum-verified archive
promoter_proteomics_analysis,F3_A;F3_B;F3_D;S2_A,Final promoter-series protein-level export sector mapping and analysis code,collaborator_delivery,archive/incoming/2026-08-12/collaborator_proteomics_cell_economy_2026,c5e534de7e2102d330356ecb6e78f6346f3cc14a,d5443d716a7e1f9e931dbde0ee242a89030e4d67f1b65a3c218f31f70147f081,129335384,accepted_partial,see_package,Protein-level workflow accepted; raw MS FASTA and Spectronaut project remain absent
static_cell_economy_model,F2_G;F2_H;F3_C;S3_A,Final post-2024 cell-economy source parameters calibration and solver package,collaborator_delivery,archive/incoming/2026-08-12/collaborator_proteomics_cell_economy_2026,c5e534de7e2102d330356ecb6e78f6346f3cc14a,d5443d716a7e1f9e931dbde0ee242a89030e4d67f1b65a3c218f31f70147f081,129335384,accepted_partial,GPL-3.0-only,Fixed outputs accepted; exact local solver runtime remains unresolved
gradient_model,F3_E;F3_F;F3_G,Final gradient movement growth and biomass model package,collaborator_delivery,archive/incoming/2026-08-12/collaborator_proteomics_cell_economy_2026,c5e534de7e2102d330356ecb6e78f6346f3cc14a,d5443d716a7e1f9e931dbde0ee242a89030e4d67f1b65a3c218f31f70147f081,129335384,accepted_partial,GPL-3.0-only,Complete delivered time series reproduce the unique 3 percent optimum
figure1_microscopy,F1_B;F1_C;F1_D;F1_E;F1_G,Raw microscopy fields segmentation outputs and processing projects,repository_or_archive,,,,,pending_source_identification,pending,Must map representative fields to quantified cells and record scale calibration
figure1_schematics,F1_A;F1_F,Editable Figure 1 schematic sources and linked artwork,author_source_archive,,,,,pending_source_identification,pending,Record fonts software version export settings and artwork rights
figure2_growth_raw,F2_A;F2_B;F2_E,Raw plate-reader workbooks and fitting configuration for population-growth panels,repository_or_archive,,,,,pending_canonical_packaging,pending,Current partial runs begin from fitted growth-rate tables
figure2_single_cell_raw,F2_C;F2_F;S1_A;S1_B,Raw mother-machine images tracking segmentation and cell-cycle lineage,repository_or_archive,,,,,pending_source_identification,pending,Current partial runs begin from compacted cell-level tables
figure2_schematic,F2_D,Editable flagellar assembly-mutant schematic and linked artwork,author_source_archive,,,,,pending_source_identification,pending,Genotypes labels fonts and export recipe require audit
figure4_raw_assets,F4_A;F4_B;F4_C;F4_D;F4_E,Raw motility workbooks plate and microscopy images plus editable schematic,repository_or_archive,,,,,pending_source_identification,pending,Resolve Ptet ng per ul versus ng per ml label before release
figure5_raw_trajectories,F5_A;F5_B;F5_C;S4_A;S4_B;S4_C;S4_D;S4_E;S4_F;S4_G;S4_H;S4_I;S4_J;S4_K;S4_L,Raw trajectories metadata exclusions and density-processing inputs,repository_or_archive,,,,,pending_source_identification,pending,Current partial runs begin from migrated density and block summaries
figure5_fluorescence_assignment,F5_D;F5_E;F5_F,Raw competition microscopy fluorescence assignment and hook-count inputs,repository_or_archive,,,,,pending_source_identification,pending,Current partial runs begin from migrated collapsed summaries
