panel_id,artifact_id,usage
F1_A,ref_figure_1_svg,final_output
F1_B,ref_figure_1_svg,final_output
F1_C,ref_figure_1_svg,final_output
F1_D,ref_figure_1_svg,final_output
F1_E,ref_figure_1_svg,final_output
F1_F,ref_figure_1_svg,final_output
F1_G,ref_figure_1_svg,final_output
F1_H,ref_figure_1_svg,final_output
F2_A,ref_figure_2_svg,final_output
F2_B,ref_figure_2_svg,final_output
F2_C,ref_figure_2_svg,final_output
F3_A,ref_figure_2_svg,final_output
F3_B,ref_figure_2_svg,final_output
F3_C,ref_figure_2_svg,final_output
F3_D,ref_figure_2_svg,final_output
F3_E,ref_figure_2_svg,final_output
F4_A,ref_figure_3_svg,final_output
F4_B,ref_figure_3_svg,final_output
F4_C,ref_figure_3_svg,final_output
F4_D,ref_figure_3_svg,final_output
F4_E,ref_figure_3_svg,final_output
F4_F,ref_figure_3_svg,final_output
F5_A,ref_figure_3_svg,final_output
F5_B,ref_figure_3_svg,final_output
F5_C,ref_figure_3_svg,final_output
F5_D,ref_figure_3_svg,final_output
F5_E,ref_figure_3_svg,final_output
F6_A,ref_figure_4_svg,final_output
F6_B,ref_figure_4_svg,final_output
F6_C,ref_figure_4_svg,final_output
F6_D,ref_figure_4_svg,final_output
F6_E,ref_figure_4_svg,final_output
F7_A,ref_figure_5_svg,final_output
F7_B,ref_figure_5_svg,final_output
F7_C,ref_figure_5_svg,final_output
F7_D,ref_figure_5_svg,final_output
F7_E,ref_figure_5_svg,final_output
F7_F,ref_figure_5_svg,final_output
F7_G,ref_figure_5_svg,final_output
S1_A,ref_supplementary_figure_1_svg,final_output
S1_B,ref_supplementary_figure_1_svg,final_output
S2_A,ref_supplementary_figure_2_svg,final_output
S3_A,ref_supplementary_figure_4_svg,final_output
S3_B,ref_supplementary_figure_4_svg,final_output
S3_C,ref_supplementary_figure_4_svg,final_output
S3_D,ref_supplementary_figure_4_svg,final_output
S3_E,ref_supplementary_figure_4_svg,final_output
S3_F,ref_supplementary_figure_4_svg,final_output
S3_G,ref_supplementary_figure_4_svg,final_output
S3_H,ref_supplementary_figure_4_svg,final_output
S3_I,ref_supplementary_figure_4_svg,final_output
S4_A,ref_supplementary_figure_5_svg,final_output
S4_B,ref_supplementary_figure_5_svg,final_output
S4_C,ref_supplementary_figure_5_svg,final_output
S4_D,ref_supplementary_figure_5_svg,final_output
S4_E,ref_supplementary_figure_5_svg,final_output
S4_F,ref_supplementary_figure_5_svg,final_output
S5_A,ref_figure_5_svg,final_output
S5_B,ref_figure_5_svg,final_output
S5_C,ref_figure_5_svg,final_output
F1_C,partial_f1_c_f1_c_pdf,panel_output
F1_C,partial_f1_c_f1_c_png,panel_output
F1_C,partial_f1_c_f1_c_svg,panel_output
F1_C,partial_f1_c_cell_points_csv,processed_input
F1_C,partial_f1_c_legacy_statistics_csv,processed_input
F1_C,partial_f1_c_replicate_means_csv,processed_input
F1_C,partial_f1_c_f1_c_distribution_csv,source_data
F1_C,partial_f1_c_f1_c_replicate_means_csv,source_data
F1_C,partial_f1_c_f1_c_statistics_csv,statistics
F1_D,partial_f1_d_f1_d_pdf,panel_output
F1_D,partial_f1_d_f1_d_png,panel_output
F1_D,partial_f1_d_f1_d_svg,panel_output
F1_D,partial_f1_d_cell_points_csv,processed_input
F1_D,partial_f1_d_legacy_statistics_csv,processed_input
F1_D,partial_f1_d_replicate_means_csv,processed_input
F1_D,partial_f1_d_f1_d_distribution_csv,source_data
F1_D,partial_f1_d_f1_d_replicate_means_csv,source_data
F1_D,partial_f1_d_f1_d_statistics_csv,statistics
F1_E,partial_f1_e_f1_e_pdf,panel_output
F1_E,partial_f1_e_f1_e_png,panel_output
F1_E,partial_f1_e_f1_e_svg,panel_output
F1_E,partial_f1_e_cell_points_csv,processed_input
F1_E,partial_f1_e_legacy_bubble_counts_csv,processed_input
F1_E,partial_f1_e_legacy_statistics_csv,processed_input
F1_E,partial_f1_e_f1_e_bubble_counts_csv,source_data
F1_E,partial_f1_e_f1_e_statistics_csv,statistics
F1_H,partial_f1_h_f1_h_pdf,panel_output
F1_H,partial_f1_h_f1_h_png,panel_output
F1_H,partial_f1_h_f1_h_svg,panel_output
F1_H,partial_f1_h_histogram_counts_csv,processed_input
F1_H,partial_f1_h_legacy_statistics_csv,processed_input
F1_H,partial_f1_h_replicate_means_csv,processed_input
F1_H,partial_f1_h_f1_h_distribution_csv,source_data
F1_H,partial_f1_h_f1_h_replicate_means_csv,source_data
F1_H,partial_f1_h_f1_h_statistics_csv,statistics
F2_A,partial_f2_a_f2_a_pdf,panel_output
F2_A,partial_f2_a_f2_a_png,panel_output
F2_A,partial_f2_a_f2_a_svg,panel_output
F2_A,partial_f2_a_per_curve_csv,processed_input
F2_A,partial_f2_a_f2_a_source_data_csv,source_data
F2_A,partial_f2_a_f2_a_statistics_csv,statistics
F2_B,partial_f2_b_f2_b_pdf,panel_output
F2_B,partial_f2_b_f2_b_png,panel_output
F2_B,partial_f2_b_f2_b_svg,panel_output
F2_B,partial_f2_b_per_curve_csv,processed_input
F2_B,partial_f2_b_f2_b_source_data_csv,source_data
F2_B,partial_f2_b_f2_b_statistics_csv,statistics
F2_C,partial_f2_c_f2_c_pdf,panel_output
F2_C,partial_f2_c_f2_c_png,panel_output
F2_C,partial_f2_c_f2_c_svg,panel_output
F2_C,partial_f2_c_cell_points_parquet,processed_input
F2_C,partial_f2_c_replicate_means_csv,processed_input
F2_C,partial_f2_c_f2_c_csv_gz,source_data
F2_C,partial_f2_c_f2_c_source_data_csv_gz,source_data
F2_C,partial_f2_c_summary_csv,source_data
F2_C,partial_f2_c_f2_c_statistics_csv,statistics
F3_B,partial_f3_b_f3_b_pdf,panel_output
F3_B,partial_f3_b_f3_b_png,panel_output
F3_B,partial_f3_b_f3_b_svg,panel_output
F3_B,partial_f3_b_per_curve_csv,processed_input
F3_B,partial_f3_b_f3_b_source_data_csv,source_data
F3_B,partial_f3_b_f3_b_statistics_csv,statistics
F3_C,partial_f3_c_f3_c_pdf,panel_output
F3_C,partial_f3_c_f3_c_png,panel_output
F3_C,partial_f3_c_f3_c_svg,panel_output
F3_C,partial_f3_c_cell_points_parquet,processed_input
F3_C,partial_f3_c_replicate_means_csv,processed_input
F3_C,partial_f3_c_f2_f_csv_gz,source_data
F3_C,partial_f3_c_f3_c_source_data_csv_gz,source_data
F3_C,partial_f3_c_summary_csv,source_data
F3_C,partial_f3_c_f3_c_statistics_csv,statistics
F3_D,partial_f3_d_f3_d_pdf,panel_output
F3_D,partial_f3_d_f3_d_png,panel_output
F3_D,partial_f3_d_f3_d_svg,panel_output
F3_D,partial_f3_d_steady_state_flag_0_00_atp_csv,raw_input
F3_D,partial_f3_d_steady_state_flag_0_00_no_atp_csv,raw_input
F3_D,partial_f3_d_steady_state_flag_0_01_atp_csv,raw_input
F3_D,partial_f3_d_steady_state_flag_0_01_no_atp_csv,raw_input
F3_D,partial_f3_d_steady_state_flag_0_02_atp_csv,raw_input
F3_D,partial_f3_d_steady_state_flag_0_02_no_atp_csv,raw_input
F3_D,partial_f3_d_steady_state_flag_0_03_atp_csv,raw_input
F3_D,partial_f3_d_steady_state_flag_0_03_no_atp_csv,raw_input
F3_D,partial_f3_d_steady_state_flag_0_04_atp_csv,raw_input
F3_D,partial_f3_d_steady_state_flag_0_04_no_atp_csv,raw_input
F3_D,partial_f3_d_steady_state_flag_0_05_atp_csv,raw_input
F3_D,partial_f3_d_steady_state_flag_0_05_no_atp_csv,raw_input
F3_D,partial_f3_d_f3_d_source_data_csv,source_data
F3_D,partial_f3_d_f3_d_statistics_csv,statistics
F3_E,partial_f3_e_f3_e_pdf,panel_output
F3_E,partial_f3_e_f3_e_png,panel_output
F3_E,partial_f3_e_f3_e_svg,panel_output
F3_E,partial_f3_b_per_curve_csv,processed_input
F3_E,partial_f3_d_steady_state_flag_0_00_atp_csv,raw_input
F3_E,partial_f3_d_steady_state_flag_0_00_no_atp_csv,raw_input
F3_E,partial_f3_d_steady_state_flag_0_01_atp_csv,raw_input
F3_E,partial_f3_d_steady_state_flag_0_01_no_atp_csv,raw_input
F3_E,partial_f3_d_steady_state_flag_0_02_atp_csv,raw_input
F3_E,partial_f3_d_steady_state_flag_0_02_no_atp_csv,raw_input
F3_E,partial_f3_d_steady_state_flag_0_03_atp_csv,raw_input
F3_E,partial_f3_d_steady_state_flag_0_03_no_atp_csv,raw_input
F3_E,partial_f3_d_steady_state_flag_0_04_atp_csv,raw_input
F3_E,partial_f3_d_steady_state_flag_0_04_no_atp_csv,raw_input
F3_E,partial_f3_d_steady_state_flag_0_05_atp_csv,raw_input
F3_E,partial_f3_d_steady_state_flag_0_05_no_atp_csv,raw_input
F3_E,partial_f3_e_f3_e_source_data_csv,source_data
F3_E,partial_f3_e_f3_e_statistics_csv,statistics
F4_A,partial_f4_a_salmonella_model_svg,image_asset
F4_A,partial_f4_a_figure_4_a_svg,panel_output
F4_A,partial_f4_a_schematic_asset_csv,source_data
F4_B,partial_f4_b_figure_4_b_pdf,panel_output
F4_B,partial_f4_b_figure_4_b_png,panel_output
F4_B,partial_f4_b_figure_4_b_svg,panel_output
F4_B,partial_f4_b_protein_massfrac_annotated_csv,raw_input
F4_B,partial_f4_b_sector_mass_fractions_tsv,raw_input
F4_B,partial_f4_b_steady_state_flag_0_00_csv,raw_input
F4_B,partial_f4_b_steady_state_flag_0_01_csv,raw_input
F4_B,partial_f4_b_steady_state_flag_0_02_csv,raw_input
F4_B,partial_f4_b_steady_state_flag_0_03_csv,raw_input
F4_B,partial_f4_b_steady_state_flag_0_04_csv,raw_input
F4_B,partial_f4_b_steady_state_flag_0_05_csv,raw_input
F4_B,partial_f4_b_a1_sector_regressions_csv,source_data
F4_B,partial_f4_b_delta_overlay_csv,source_data
F4_C,partial_f4_c_figure_4_c_pdf,panel_output
F4_C,partial_f4_c_figure_4_c_png,panel_output
F4_C,partial_f4_c_figure_4_c_svg,panel_output
F4_C,partial_f4_b_protein_massfrac_annotated_csv,raw_input
F4_C,partial_f4_b_sector_mass_fractions_tsv,raw_input
F4_C,partial_f4_c_label_audit_csv,source_data
F4_C,partial_f4_c_top10_proteins_csv,source_data
F4_D,partial_f4_d_figure_4_d_pdf,panel_output
F4_D,partial_f4_d_figure_4_d_png,panel_output
F4_D,partial_f4_d_figure_4_d_svg,panel_output
F4_D,partial_f4_b_protein_massfrac_annotated_csv,raw_input
