panel_id,figure_id,panel_label,title,panel_type,status,canonical_rule,final_artifact_id,legacy_panel_ids,notes
F1_A,Figure1,A,flhDC locus and Ptet control schematic,schematic,needs_asset_migration,build_revision_f1_a,ref_figure_1_svg,F1_A,12 August 2026 seven-figure revision
F1_B,Figure1,B,Representative Ptet hook and filament microscopy,microscopy,needs_asset_migration,build_revision_f1_b,ref_figure_1_svg,F1_B,12 August 2026 seven-figure revision
F1_C,Figure1,C,Ptet hook number across AnTc,quantitative,ready_migration,build_revision_f1_c,ref_figure_1_svg,F1_C,12 August 2026 seven-figure revision
F1_D,Figure1,D,Ptet filament number across AnTc,quantitative,ready_migration,build_revision_f1_d,ref_figure_1_svg,F1_D,12 August 2026 seven-figure revision
F1_E,Figure1,E,Hook-filament correlation in Ptet,quantitative,ready_migration,build_revision_f1_e,ref_figure_1_svg,F1_E,12 August 2026 seven-figure revision
F1_F,Figure1,F,Synthetic Ppro promoter-series schematic,schematic,needs_asset_migration,build_revision_f1_f,ref_figure_1_svg,F1_F,12 August 2026 seven-figure revision
F1_G,Figure1,G,Representative Ppro hook microscopy,microscopy,needs_asset_migration,build_revision_f1_g,ref_figure_1_svg,F1_G,12 August 2026 seven-figure revision
F1_H,Figure1,H,Ppro hook number across promoter series,quantitative,ready_migration,build_revision_f1_h,ref_figure_1_svg,F1_H,12 August 2026 seven-figure revision
F2_A,Figure2,A,Same-day-WT-normalized Ptet population growth,quantitative,ready_migration,build_revision_f2_a,ref_figure_2_svg,F2_A,12 August 2026 seven-figure revision
F2_B,Figure2,B,Same-day-WT-normalized Ppro population growth,quantitative,ready_migration,build_revision_f2_b,ref_figure_2_svg,F2_B,12 August 2026 seven-figure revision
F2_C,Figure2,C,Ppro single-cell growth distributions,quantitative,ready_migration,build_revision_f2_c,ref_figure_2_svg,F2_C,12 August 2026 seven-figure revision
F3_A,Figure3,A,Flagellar assembly-mutant schematic,schematic,needs_asset_migration,build_revision_f3_a,ref_figure_2_svg,F2_D,12 August 2026 seven-figure revision
F3_B,Figure3,B,Assembly-mutant population growth,quantitative,ready_migration,build_revision_f3_b,ref_figure_2_svg,F2_E,12 August 2026 seven-figure revision
F3_C,Figure3,C,Assembly-mutant single-cell growth,quantitative,ready_migration,build_revision_f3_c,ref_figure_2_svg,F2_F,12 August 2026 seven-figure revision
F3_D,Figure3,D,Modeled growth versus flagellar mass and rotation,model,ready_migration,build_revision_f3_d,ref_figure_2_svg,F2_G,12 August 2026 seven-figure revision
F3_E,Figure3,E,Experimental and modeled growth-penalty comparison,mixed_model_experiment,ready_migration,build_revision_f3_e,ref_figure_2_svg,F2_H,12 August 2026 seven-figure revision
F4_A,Figure4,A,Cell-economy model schematic,model_schematic,ready_migration,build_revision_f4_a,ref_figure_3_svg,F3_C:schematic,12 August 2026 seven-figure revision
F4_B,Figure4,B,Experimental sector changes with model overlay,proteomics_model,ready_migration,build_revision_f4_b,ref_figure_3_svg,F3_A;F3_C,12 August 2026 seven-figure revision
F4_C,Figure4,C,Protein-level sector composition,proteomics,ready_migration,build_revision_f4_c,ref_figure_3_svg,F3_B,12 August 2026 seven-figure revision
F4_D,Figure4,D,Measured sector composition across strains,proteomics,ready_migration,build_revision_f4_d,ref_figure_3_svg,F3_A:composition,Restored from the July Figure 3A on 12 August 2026
F4_E,Figure4,E,Modeled sector allocation across flagellar fraction,model,ready_migration,build_revision_f4_e,ref_figure_3_svg,F3_C:quantitative,12 August 2026 seven-figure revision
