figure,panel_id,quantity,value,source_file,computation
Figure 1,F1_C,cell-dot threshold,12,analyses/figure_01/plotting.py,the integer in the `if frequency <= N` rule that draws a sparse count as cell dots
Figure 1,F1_D,cell-dot threshold,12,analyses/figure_01/plotting.py,the integer in the `if frequency <= N` rule that draws a sparse count as cell dots
Figure 1,F1_H,cell-dot threshold,12,analyses/figure_01/plotting.py,the integer in the `if frequency <= N` rule that draws a sparse count as cell dots
Figure 1,F1_E,"bubble size key, cells per bubble",10/100/1000,analyses/figure_01/plotting.py,the three cell numbers in the bubble-key tuple of the hook-versus-filament panel
Figure 2,F2_A,independent days,6,build/source_data/Figure_2/A/F2_A_source_data.csv,distinct experiment_day of the technical-curve rows
Figure 2,F2_A,growth curves per condition and day,10,build/source_data/Figure_2/A/F2_A_source_data.csv,distinct curve_id per experiment_day and strain; the build stops if the count varies
Figure 2,F2_A,WT reference growth rate,1.087 1/h,build/source_data/Figure_2/A/F2_A_source_data.csv,"mean over the six days of reference_growth_rate_1_h, to three decimals"
Figure 2,F2_B,independent days,6,build/source_data/Figure_2/B/F2_B_source_data.csv,distinct experiment_day of the technical-curve rows
Figure 2,F2_B,growth curves per condition and day,3,build/source_data/Figure_2/B/F2_B_source_data.csv,distinct curve_id per experiment_day and strain; the build stops if the count varies
Figure 2,F2_B,WT reference growth rate,1.624 1/h,build/source_data/Figure_2/B/F2_B_source_data.csv,"mean over the six days of reference_growth_rate_1_h, to three decimals"
Figure 2,F2_B,between-series difference of the WT reference,0.537 1/h,build/source_data/Figure_2/A/F2_A_source_data.csv; build/source_data/Figure_2/B/F2_B_source_data.csv,"the B reference growth rate minus the A reference growth rate, both rounded to three decimals first"
Figure 2,F2_C,independent experiments per strain,2,build/source_data/Figure_2/C/F2_C_source_data.csv.gz,distinct replicate per strain
Figure 2,F2_C,cell values,126934,build/source_data/Figure_2/C/F2_C_source_data.csv.gz,row count of the cell-level table
Figure 3,F3_B,independent days,6,build/source_data/Figure_3/B/F3_B_source_data.csv,distinct experiment_day of the technical-curve rows
Figure 3,F3_C,independent experiments,2,build/source_data/Figure_3/C/F3_C_source_data.csv.gz,distinct replicate per strain
Figure 3,F3_C,cell values,110983,build/source_data/Figure_3/C/F3_C_source_data.csv.gz,row count of the cell-level table
Figure 3,F3_D,rotating penalty at 5%,8.4%,build/source_data/Figure_3/D/F3_D_source_data.csv,"one minus the growth rate at 0.05 divided by the growth rate at 0.00, rotating rows"
Figure 3,F3_D,non-rotating penalty at 5%,7.4%,build/source_data/Figure_3/D/F3_D_source_data.csv,"one minus the growth rate at 0.05 divided by the growth rate at 0.00, non-rotating rows"
Figure 3,F3_E,model flagellar mass fraction,5%,build/source_data/Figure_3/D/F3_D_source_data.csv,the largest flagella_mass_fraction the fixed model table carries
Figure 4,F4_B,proteomics replicates per strain,4,build/source_data/Figure_4/B/delta_overlay.csv,distinct replicate per mutant of the experiment rows
Figure 4,F4_C,proteomics replicates per strain,4,build/source_data/Figure_4/B/delta_overlay.csv,distinct replicate per mutant of the experiment rows
Figure 4,F4_B,"dashed-line threshold, largest measured flagellar allocation",3.34%,build/source_data/Figure_4/B/delta_overlay.csv,"the largest x_flagella of the experiment rows, as a percentage to two decimals"
