role,package,version,declared_constraint,hash_pinned,source
Optimisation and solver stack,gekko,1.3.2,==1.3.2,yes,uv.lock
Optimisation and solver stack,scipy,1.18.0,">=1.14,<2",yes,uv.lock
Numerical and tabular stack,numpy,2.5.2,">=2.1,<3",yes,uv.lock
Numerical and tabular stack,pandas,2.3.3,">=2.2,<3",yes,uv.lock
Numerical and tabular stack,pyarrow,22.0.0,">=18,<23",yes,uv.lock
Numerical and tabular stack,scikit-learn,1.9.0,">=1.6,<2",yes,uv.lock
Numerical and tabular stack,scikit-image,0.25.2,">=0.25,<0.26",yes,uv.lock
Numerical and tabular stack,openpyxl,3.1.5,">=3.1,<4",yes,uv.lock
Numerical and tabular stack,xlsxwriter,3.2.9,">=3.2,<4",yes,uv.lock
Plotting and image stack,matplotlib,3.11.1,">=3.9,<4",yes,uv.lock
Plotting and image stack,seaborn,0.13.2,">=0.13.2,<0.14",yes,uv.lock
Plotting and image stack,adjusttext,1.4.0,">=1.3,<2",yes,uv.lock
Plotting and image stack,cmcrameri,1.10,">=1.9,<2",yes,uv.lock
Plotting and image stack,colorspacious,1.1.2,">=1.1.2,<2",yes,uv.lock
Plotting and image stack,pillow,11.3.0,">=11,<12",yes,uv.lock
Plotting and image stack,imageio,2.37.4,">=2.36,<3",yes,uv.lock
Plotting and image stack,cairosvg,2.9.0,">=2.7,<3",yes,uv.lock
Workflow and validation,snakemake,9.25.1,">=9,<10",yes,uv.lock
Workflow and validation,pyyaml,6.0.3,">=6.0,<7",yes,uv.lock
Workflow and validation,jsonschema,4.26.0,">=4.23,<5",yes,uv.lock
Testing and linting,pytest,8.4.2,">=8.3,<9",yes,uv.lock
Testing and linting,pytest-regressions,2.11.0,">=2.7,<3",yes,uv.lock
Testing and linting,ruff,0.16.2,">=0.9,<1",yes,uv.lock
