relative_path,source_path,sha256,bytes,mime_type,source_modified_ns
reference/2026-07-09/manuscript/20260709_The cost-benefit trade-off_manuscript.docx,20260709_The cost-benefit trade-off_manuscript.docx,36fa65cf117269e98ca6061881ce3b3c7e24a30d56543926d078273e5bdd3d68,10493171,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1783627573753851623
reference/2026-07-09/figures/Figure_1.png,Figure_1.png,6ea2f6ad85f1c0e70c351c5b7811716878c2efa9cb7bc13682b9f2f04c73d202,1708680,image/png,1783624220000000000
reference/2026-07-09/figures/Figure_1.svg,Figure_1.svg,3f833d18f68df7458121f212cbbea4c25475f39e402cdfe516e123e3995c1f51,4519330,image/svg+xml,1783624221841672907
reference/2026-07-09/figures/Figure_2.png,Figure_2.png,62289a175f0d34dc5d2d0beccfa79900a2df87dd3665012f06b432d5a3cbddc0,1553902,image/png,1783608793000000000
reference/2026-07-09/figures/Figure_2.svg,Figure_2.svg,5d0d4848c6f147f9cfd729c10c62b7c3e6f865edfaa687d29fe311fb03c14ea8,1551061,image/svg+xml,1783608794000000000
reference/2026-07-09/figures/Figure_3.png,Figure_3.png,ffbe9b307137ab22c3572da2a08c238b135caadfb78fb7faf9bd60b705801932,2221388,image/png,1783608762000000000
reference/2026-07-09/figures/Figure_3.svg,Figure_3.svg,9de8fd7066d4b6faba3e483e41ea27a8544e15f7c12e949e66a38bfc559874ce,1506583,image/svg+xml,1783608763000000000
reference/2026-07-09/figures/Figure_4.png,Figure_4.png,af21c800dfeff57a62a89f06f962bc48a3ea8bb7dd4f74d13a1b5e16c3006ccd,1070960,image/png,1783608743000000000
reference/2026-07-09/figures/Figure_4.svg,Figure_4.svg,ddf753ca274c1f7fe35174178a7cdb8f621b9e3c44f9da2f4454394add57f6e7,2756166,image/svg+xml,1783608744000000000
reference/2026-07-09/figures/Figure_5.png,Figure_5.png,3a0414dde2ba32d3f8f30194e9432753da9ed3e7176134de7670466b8c6974ba,981360,image/png,1783608702000000000
reference/2026-07-09/figures/Figure_5.svg,Figure_5.svg,8f989c97ea71ed0105edd484680691b6dfed74ec64e3d7ba67c4226d21005246,14041244,image/svg+xml,1783608707000000000
reference/2026-07-09/figures/Supplemental-figure_1.png,Supplemental-figure_1.png,4c331337feac57fca663992c337f92657fd84bf6693fa2c81fcd6546f59c62b8,465704,image/png,1783625047000000000
reference/2026-07-09/figures/Supplemental-figure_1.svg,Supplemental-figure_1.svg,aa420940d3c838523cdf33439b8c9b7886108530127f7bc886baa6629c385a98,907814,image/svg+xml,1783625049203111117
reference/2026-07-09/figures/Supplemental-figure_2.png,Supplemental-figure_2.png,92505383bdf1d4be2aaf37f4de03e553745969d5762378a48ac71eac6a301fc6,557267,image/png,1783625553000000000
reference/2026-07-09/figures/Supplemental-figure_2.svg,Supplemental-figure_2.svg,7c87795b04039fbec00e7d44b02036de5e4d9e7d32bd060827bca4f0d8b1fd77,1378000,image/svg+xml,1783625553975841760
reference/2026-07-09/figures/Supplemental-figure_3.png,Supplemental-figure_3.png,aa239d19b05c6b896edf0ae2c2918d980772eea3e76a910d421c2f372b051671,142681,image/png,1783625120000000000
reference/2026-07-09/figures/Supplemental-figure_3.svg,Supplemental-figure_3.svg,047d3a7f996e455573f7a7335f92ea6ffa57daa1bab6a89c2fe905da6685fffb,534744,image/svg+xml,1783625121609035207
reference/2026-07-09/figures/Supplemental-figure_4.png,Supplemental-figure_4.png,3d6e8e9eb17f5e0fc27cb6e0b27834068a0b0a094f559f5ea124b22ce1eb8d4e,1055253,image/png,1783625141000000000
reference/2026-07-09/figures/Supplemental-figure_4.svg,Supplemental-figure_4.svg,7b5ff75352cc5d258d2363b3fbdc1279a966a43773a7a49986f2822eb5db85ae,374484,image/svg+xml,1783625143021726585
reference/2026-07-09/figures/Supplemental-figure_5.png,Supplemental-figure_5.png,778a5895fd3758b82299e2d3c23584c0a2da04f5f62a500f3d6a0fe4e0133a1a,2503004,image/png,1783625176000000000
reference/2026-07-09/figures/Supplemental-figure_5.svg,Supplemental-figure_5.svg,5f9fa19505a4151c2a0dfb31f1ddd7164a00549df784bb420a9aab4cf2199d61,2435098,image/svg+xml,1783625177874069019
